away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
26.3,5,2.9,1,131.0,52.4,11,0.413,52,0.365,19,0.26899999999999996,14,0.7140000000000001,10,0,200,74.6,31.3,10,23,53,8.5,6,0.365,19,0.263,5,39.6,21,0.452,25.6,20,33,0.424,14,0.0,0,8-Dec-18,68.8,22,12.1,4,74.6,68.8,22,0.682,55,0.5820000000000001,32,0.436,24,0.75,18,1,200,131.0,47.6,10,20,93,14.1,10,0.382,21,0.524,11,60.4,32,0.7,20.6,17,34,0.618,21,0.9,9,"Moody Coliseum , Abilene, Texas","Schreiner
			","Schreiner
			",71.0,Home,ABILENE-CHRISTIAN,Abilene Christian
26.7,4,6.1,3,120.5,45.0,18,0.318,55,0.273,15,0.109,6,0.833,5,0,200,54.8,18.4,7,16,40,13.7,10,0.418,23,0.217,5,32.1,25,0.34600000000000003,27.6,22,32,0.313,10,0.0,0,29-Dec-18,62.9,22,9.4,3,54.8,81.6,31,0.527,74,0.473,35,0.21600000000000003,16,0.625,10,2,200,120.5,55.0,22,9,88,19.2,14,0.33799999999999997,25,0.32,8,67.9,53,0.539,14.7,14,49,0.551,27,0.846,11,"Moody Coliseum , Abilene, Texas","McMurry
			","McMurry
			",73.2,Home,ABILENE-CHRISTIAN,Abilene Christian
27.3,6,5.9,2,120.3,87.5,21,0.522,45,0.489,22,0.622,28,0.75,21,4,200,98.6,37.5,9,19,68,5.8,4,0.311,14,0.214,3,62.5,30,0.583,27.7,22,31,0.613,19,0.5,4,4-Dec-18,40.7,11,0.0,0,98.6,62.5,15,0.635,48,0.563,27,0.542,26,0.846,22,1,200,120.3,12.5,3,23,83,20.3,14,0.292,14,0.5,7,37.5,18,0.688,14.4,10,34,0.588,20,0.889,8,"Moody Coliseum , Abilene, Texas",CAMPBELL,Campbell,69.3,Home,ABILENE-CHRISTIAN,Abilene Christian
27.3,6,10.3,3,110.8,71.0,22,0.439,57,0.386,22,0.193,11,0.727,8,15,200,89.2,20.6,7,22,58,4.6,3,0.316,18,0.33299999999999996,6,44.6,29,0.466,13.9,10,39,0.41,16,0.483,14,5-Mar-19,75.0,18,12.8,5,89.2,79.4,27,0.509,55,0.436,24,0.418,23,0.696,16,6,200,110.8,29.0,9,14,72,7.7,5,0.473,26,0.308,8,55.4,36,0.546,10.9,8,29,0.552,16,0.8,24,"Moody Coliseum , Abilene, Texas",STEPHEN-F-AUSTIN,Stephen F. Austin,65.1,Home,ABILENE-CHRISTIAN,Abilene Christian
27.8,5,0.0,0,142.7,50.0,13,0.418,49,0.36700000000000005,18,0.36700000000000005,18,0.722,13,0,200,72.0,13.8,4,0,54,2.7,2,0.245,12,0.41700000000000004,5,30.9,17,0.469,27.9,22,37,0.35100000000000003,13,0.0,0,6-Nov-18,63.4,26,16.2,6,72.0,86.2,25,0.705,66,0.621,41,0.318,21,0.667,14,0,200,142.7,50.0,13,20,107,17.3,13,0.348,23,0.478,11,69.1,38,0.7040000000000001,12.8,11,43,0.698,30,1.0,1,"Moody Coliseum , Abilene, Texas","Arlington Baptist
			","Arlington Baptist
			",74.8,Home,ABILENE-CHRISTIAN,Abilene Christian
36.0,9,11.4,4,111.4,62.2,23,0.565,46,0.5429999999999999,25,0.522,24,0.792,19,11,200,101.4,21.7,5,18,71,11.4,8,0.217,10,0.2,2,46.7,28,0.618,25.1,19,36,0.639,23,0.45,9,30-Jan-19,68.0,17,8.3,3,101.4,78.3,18,0.525,59,0.424,25,0.35600000000000004,21,0.762,16,4,200,111.4,37.8,14,22,78,17.1,12,0.40700000000000003,24,0.5,12,53.3,32,0.565,17.0,14,35,0.371,13,0.818,18,"Moody Coliseum , Abilene, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,70.2,Home,ABILENE-CHRISTIAN,Abilene Christian
37.0,10,7.1,3,107.5,63.0,17,0.536,56,0.48200000000000004,27,0.35700000000000004,20,0.75,15,3,200,111.9,25.8,8,26,75,10.4,7,0.23199999999999998,13,0.462,6,43.1,25,0.573,11.0,8,43,0.488,21,0.8240000000000001,14,12-Jan-19,36.8,7,11.6,5,111.9,74.2,23,0.41,50,0.38,19,0.66,33,0.9390000000000001,31,12,200,107.5,37.0,10,17,72,4.5,3,0.16,8,0.375,3,56.9,33,0.5479999999999999,16.8,13,42,0.381,16,0.25,4,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,67.1,Away,ABILENE-CHRISTIAN,Abilene Christian
39.3,11,6.1,2,107.6,72.4,21,0.545,56,0.5,28,0.321,18,0.667,12,0,200,110.6,22.2,6,28,73,6.1,4,0.268,15,0.33299999999999996,5,48.2,27,0.565,12.3,9,41,0.561,23,1.0,5,23-Nov-18,25.0,5,7.3,3,110.6,77.8,21,0.467,46,0.435,20,0.804,37,0.757,28,3,200,107.6,27.6,8,19,71,9.1,6,0.28300000000000003,13,0.231,3,51.8,29,0.5579999999999999,12.6,9,33,0.515,17,0.5710000000000001,4,"A.G. Spanos Center, Stockton, California",PACIFIC,Pacific,66.1,Away,ABILENE-CHRISTIAN,Abilene Christian
42.9,9,2.8,1,95.8,66.7,18,0.41200000000000003,51,0.41200000000000003,21,0.529,27,0.593,16,7,200,81.7,28.1,9,20,58,11.3,8,0.157,8,0.0,0,45.8,27,0.45399999999999996,23.2,19,43,0.488,21,0.41700000000000004,5,2-Jan-19,50.0,12,9.3,4,81.7,71.9,23,0.528,53,0.45299999999999996,24,0.302,16,0.75,12,2,200,95.8,33.3,9,20,68,15.5,11,0.321,17,0.47100000000000003,8,54.2,32,0.561,22.1,17,36,0.444,16,0.857,12,"Moody Coliseum , Abilene, Texas",NEW-ORLEANS,New Orleans,71.2,Home,ABILENE-CHRISTIAN,Abilene Christian
43.5,10,12.9,4,101.5,73.5,25,0.5429999999999999,47,0.489,23,0.447,21,0.7140000000000001,15,16,200,97.1,21.4,6,22,66,8.8,6,0.36200000000000004,17,0.294,5,50.0,31,0.579,23.2,17,30,0.6,18,0.515,17,15-Mar-19,55.0,11,10.0,3,97.1,78.6,22,0.461,51,0.392,20,0.5489999999999999,28,0.7859999999999999,22,6,200,101.5,26.5,9,22,69,13.2,9,0.392,20,0.35,7,50.0,31,0.537,17.0,13,31,0.419,13,0.812,26,"Leonard E. Merrell Center, Katy, Texas",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,68.1,Home,ABILENE-CHRISTIAN,Abilene Christian
